1;1;[12515249, 12522705, 12522696, 12515250, 12515251, 12515283, 12519718, 12515286, 12519719, 12515252, 12515279, 12519704, 12522700, 12515285, 12519720, 12522707, 12515253, 12519705, 12515280, 12519703, 12515256, 12519721, 12522708, 12515287, 12519706, 12515255, 12522706, 12515281, 12515257, 12519707, 12522704, 12515254, 12515260, 12522692, 12522697, 12515258, 12519723, 12522699, 12522710, 12515262, 12522709, 12519709, 12522694, 12515259, 12519724, 12515261, 12519722, 12519708, 12515263, 12519710, 12522701, 12519725, 12522712, 12515264, 12522711, 12515265, 12519726, 12522713, 12515266, 12519711, 12522698, 12515267, 12522714, 12519712, 12522695, 12515269, 12519728, 12522715, 12522693, 12515271, 12515290, 12515291, 12519727, 12515270, 12515268, 12519713, 12519716, 12522691, 12519729, 12515289, 12515272, 12522716, 12519714, 12522703, 12515288, 12515274, 12519730, 12522717, 12515293, 12515273, 12515275, 12515292, 12519731, 12522718, 12519715, 12522702, 12515276, 12522719, 12519717, 12522690, 12515278, 12519732, 12515282, 12515284, 12515277];[04:57, 05:21, 05:33, 05:44, 05:57, 05:59, 06:15, 06:18, 06:19, 06:20, 06:28, 06:28, 06:28, 07:18, 07:19, 07:19, 07:20, 07:21, 07:28, 07:44, 07:52, 08:10, 08:10, 08:18, 08:19, 08:20, 08:26, 08:38, 08:48, 09:10, 09:10, 09:11, 09:14, 09:27, 09:36, 09:48, 10:10, 10:10, 10:10, 10:14, 10:39, 10:59, 10:59, 11:03, 11:06, 11:08, 11:38, 11:43, 11:48, 12:02, 12:02, 12:07, 12:07, 12:15, 12:27, 12:48, 13:07, 13:07, 13:08, 13:09, 13:09, 13:45, 14:08, 14:09, 14:09, 14:45, 15:11, 15:11, 15:13, 15:14, 15:18, 15:28, 15:45, 15:48, 16:02, 16:02, 16:13, 16:13, 16:15, 16:18, 16:19, 16:28, 17:13, 17:13, 17:18, 17:19, 17:19, 17:19, 17:28, 17:49, 17:56, 18:02, 18:19, 18:19, 18:22, 18:22, 18:23, 19:19, 19:27, 19:27, 19:33, 19:50, 20:20, 20:43, 21:20];[[0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
123;123;[12514791, 12514792, 12514795, 12514793, 12514794, 12514829, 12514799, 12514796, 12514827, 12514826, 12514828, 12514800, 12514797, 12514801, 12514798, 12514814, 12514803, 12514802, 12514815, 12514804, 12514816, 12514805, 12514817, 12514806, 12514818, 12514807, 12514819, 12514808, 12514809, 12514820, 12514821, 12514810, 12514822, 12514811, 12514823, 12514812, 12514824, 12514813, 12514825];[03:56, 04:34, 04:56, 05:10, 06:19, 07:09, 07:10, 07:45, 07:45, 07:50, 08:09, 08:20, 08:47, 09:20, 09:48, 11:16, 11:19, 11:46, 11:48, 12:15, 12:48, 13:15, 13:48, 14:10, 14:46, 15:04, 15:45, 17:10, 17:14, 17:31, 17:45, 18:23, 18:50, 19:27, 19:51, 20:33, 20:52, 21:38, 21:52];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
129;129;[12525230, 12525225, 12525229, 12525186, 12525226, 12525187, 12525227, 12527710, 12529294, 12525188, 12525228, 12525189, 12525224, 12527713, 12529295, 12527711, 12529310, 12525173, 12525190, 12525175, 12525191, 12527723, 12529296, 12529311, 12525166, 12525192, 12527726, 12525167, 12525193, 12527718, 12529297, 12527727, 12529312, 12525165, 12525194, 12525195, 12527725, 12529298, 12527728, 12529313, 12525183, 12525196, 12525221, 12525177, 12527729, 12529314, 12527719, 12529299, 12525197, 12525220, 12525198, 12525179, 12525199, 12527730, 12529315, 12527716, 12529300, 12525181, 12525200, 12525180, 12525201, 12527731, 12529301, 12529316, 12525172, 12525202, 12527714, 12525171, 12525203, 12527732, 12529317, 12527715, 12529302, 12525170, 12525204, 12525222, 12525205, 12527733, 12529318, 12527712, 12529303, 12525218, 12525206, 12525223, 12525207, 12525174, 12527734, 12529319, 12527724, 12529304, 12525208, 12525178, 12525184, 12527735, 12529320, 12527722, 12529305, 12525210, 12525209, 12525182, 12525211, 12527720, 12527736, 12529306, 12529321, 12525169, 12525212, 12525168, 12525213, 12527721, 12529307, 12527737, 12529322, 12525214, 12525217, 12525215, 12525219, 12527740, 12529308, 12529323, 12525216, 12525176, 12527738, 12525185, 12525235, 12527717, 12529309, 12527739, 12529324, 12525232, 12525234, 12525231, 12525236, 12525233];[04:20, 04:58, 05:00, 05:20, 05:28, 05:50, 05:58, 06:00, 06:00, 06:20, 06:28, 06:50, 06:50, 07:00, 07:00, 07:06, 07:06, 07:17, 07:20, 07:46, 07:50, 08:00, 08:00, 08:01, 08:19, 08:20, 08:26, 08:49, 08:50, 09:00, 09:00, 09:01, 09:01, 09:19, 09:20, 09:50, 10:00, 10:00, 10:01, 10:01, 10:19, 10:20, 10:30, 10:49, 10:59, 10:59, 11:00, 11:00, 11:07, 11:19, 11:20, 11:49, 11:50, 12:01, 12:01, 12:02, 12:02, 12:19, 12:19, 12:49, 12:49, 13:03, 13:04, 13:13, 13:16, 13:20, 13:24, 13:46, 13:50, 14:05, 14:05, 14:06, 14:06, 14:17, 14:20, 14:42, 14:50, 15:07, 15:07, 15:08, 15:08, 15:09, 15:23, 15:39, 15:53, 16:09, 16:09, 16:09, 16:10, 16:11, 16:20, 16:39, 17:09, 17:09, 17:09, 17:12, 17:12, 17:20, 17:24, 17:48, 17:50, 18:12, 18:12, 18:12, 18:12, 18:18, 18:20, 18:48, 18:50, 19:12, 19:12, 19:15, 19:15, 19:20, 19:23, 19:50, 19:53, 20:12, 20:12, 20:15, 20:20, 20:23, 20:43, 20:50, 21:08, 21:12, 21:12, 21:18, 21:18, 21:20, 22:08, 22:20, 23:20, 23:52];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
143;143;[12525662, 12525663, 12525687, 12527928, 12529598, 12525675, 12525665, 12525664, 12527927, 12529580, 12527948, 12529599, 12525671, 12525661, 12527949, 12529581, 12527943, 12529600, 12525669, 12525666, 12527950, 12529582, 12527932, 12529601, 12525682, 12525688, 12527951, 12529583, 12527933, 12529602, 12525674, 12527952, 12529584, 12527931, 12529603, 12525672, 12525689, 12527953, 12529585, 12525690, 12527942, 12529604, 12525685, 12527954, 12529586, 12525691, 12527930, 12529605, 12525679, 12527955, 12529587, 12525692, 12527939, 12525684, 12527956, 12529588, 12525693, 12529606, 12527944, 12529607, 12525670, 12527957, 12529589, 12525694, 12527929, 12529608, 12525680, 12527958, 12529590, 12525695, 12527934, 12529609, 12525667, 12529591, 12527959, 12525696, 12527940, 12529610, 12525673, 12527960, 12529592, 12525697, 12527938, 12529611, 12527961, 12529593, 12527936, 12529612, 12525698, 12525677, 12525676, 12527962, 12529594, 12527941, 12529613, 12525699, 12527963, 12525686, 12529595, 12527945, 12529614, 12527946, 12529596, 12525700, 12525681, 12529615, 12525701, 12529597, 12525668, 12527947, 12527937, 12529616, 12525702, 12527935, 12525683, 12525703, 12525678, 12525705, 12525706, 12525704];[04:30, 04:50, 05:14, 05:54, 05:54, 06:02, 06:09, 06:21, 06:23, 06:23, 06:41, 06:41, 06:46, 07:05, 07:10, 07:10, 07:26, 07:26, 07:30, 07:53, 07:57, 07:57, 08:13, 08:13, 08:22, 08:41, 08:42, 08:52, 09:00, 09:00, 09:10, 09:29, 09:29, 09:47, 09:47, 09:58, 09:58, 10:15, 10:15, 10:20, 10:32, 10:32, 10:46, 11:02, 11:02, 11:03, 11:19, 11:19, 11:34, 11:49, 11:49, 11:51, 12:06, 12:21, 12:36, 12:36, 12:39, 12:40, 12:53, 12:53, 13:09, 13:23, 13:23, 13:30, 13:40, 13:40, 13:58, 14:10, 14:10, 14:19, 14:27, 14:27, 14:46, 14:57, 15:02, 15:07, 15:14, 15:14, 15:37, 15:44, 15:44, 15:58, 16:01, 16:01, 16:33, 16:33, 16:48, 16:48, 16:49, 16:58, 17:18, 17:20, 17:20, 17:35, 17:35, 17:40, 18:07, 18:09, 18:17, 18:23, 18:23, 18:54, 18:54, 18:57, 18:59, 19:10, 19:15, 19:43, 19:46, 19:51, 19:58, 19:58, 20:02, 20:08, 20:33, 20:49, 21:22, 21:39, 22:09, 22:28];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
150;150;[12558825, 12558826, 12558827, 12558828, 12558829, 12558830, 12558831, 12558832, 12558833, 12558834, 12558835, 12558836, 12558837, 12558838, 12558839, 12558841, 12558842, 12558843, 12558844];[05:26, 06:05, 06:37, 07:09, 07:54, 08:39, 09:19, 10:00, 10:39, 11:19, 11:59, 12:31, 13:10, 13:41, 14:16, 14:54, 15:40, 16:27, 17:08];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
150A;150A;[];[];[]
151;151;[12558845, 12558846, 12558847, 12558848, 12558849, 12558850, 12558851, 12558852, 12558853, 12558854, 12558855, 12558856, 12558857, 12558858, 12558859, 12558860, 12558861, 12558840, 12558862, 12558863, 12558864, 12558824, 12558823];[04:58, 05:36, 06:12, 06:47, 07:12, 07:33, 08:18, 08:58, 09:38, 10:51, 10:58, 11:38, 12:17, 12:57, 13:33, 14:06, 14:41, 15:08, 15:38, 16:08, 16:38, 17:18, 18:00];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
167;167;[12526525, 12526508, 12526526, 12526509, 12526527, 12526510, 12526528, 12526511, 12526529, 12526512, 12526513, 12526530, 12526531, 12526532, 12526515, 12526514, 12526533, 12526516, 12526534, 12526517, 12526518, 12526535, 12526519, 12526536, 12526520, 12526537, 12526521, 12526538, 12526539, 12526523, 12526540, 12526522, 12526524, 12526541, 12526543, 12526542, 12526544];[05:08, 05:16, 05:53, 06:11, 06:48, 06:54, 07:42, 07:49, 08:40, 08:44, 09:40, 10:07, 10:27, 11:22, 11:26, 12:01, 12:17, 12:20, 13:09, 13:10, 14:05, 14:06, 15:06, 15:12, 16:02, 16:15, 17:09, 17:15, 18:18, 19:06, 19:18, 19:19, 20:06, 20:18, 21:06, 21:18, 22:06];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
177;177;[12553820, 12553821, 12553806, 12553793, 12553807, 12553794, 12553808, 12528343, 12528359, 12553795, 12528344, 12553809, 12528360, 12553796, 12553810, 12528345, 12528361, 12553797, 12553811, 12528346, 12553798, 12528362, 12553812, 12528347, 12528363, 12553799, 12553813, 12528364, 12553800, 12553814, 12528348, 12528349, 12528365, 12553801, 12553815, 12528350, 12528357, 12553802, 12553816, 12528351, 12528355, 12553803, 12528352, 12528356, 12553804, 12553818, 12528353, 12553817, 12528358, 12553805, 12553819, 12528354];[04:50, 05:06, 05:50, 06:06, 06:37, 06:59, 07:37, 08:00, 08:00, 08:07, 08:47, 08:49, 09:00, 09:07, 09:42, 09:53, 10:00, 10:07, 10:41, 10:53, 11:06, 11:36, 11:41, 11:45, 12:00, 12:06, 12:41, 13:00, 13:16, 13:41, 13:42, 13:42, 14:00, 14:05, 14:39, 14:42, 15:00, 15:04, 15:35, 15:40, 16:00, 16:02, 16:45, 17:00, 17:05, 17:40, 17:45, 17:49, 18:00, 18:05, 18:43, 18:45];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5]]
178;178;[12553739, 12553740, 12553698, 12553712, 12553699, 12553713, 12553700, 12553714, 12553701, 12553715, 12553702, 12553703, 12553716, 12553717, 12553704, 12553718, 12553719, 12553705, 12553706, 12553720, 12553707, 12553721, 12553708, 12553722, 12553709, 12553723, 12553710, 12553724, 12553725, 12553726, 12553733, 12553727, 12553729, 12553734, 12553728, 12553735, 12553730, 12553736, 12553731, 12553732, 12553738, 12553737, 12553711];[05:00, 05:01, 05:34, 05:49, 06:16, 06:32, 07:01, 07:27, 07:53, 08:17, 08:43, 09:33, 09:51, 09:58, 10:23, 10:46, 11:36, 12:01, 12:03, 12:26, 12:53, 13:16, 13:42, 14:06, 14:32, 14:51, 15:21, 15:41, 16:11, 16:30, 17:20, 17:50, 17:51, 18:20, 18:44, 19:10, 19:34, 20:10, 20:35, 21:35, 21:58, 22:00, 22:15];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
