TREE;Treeline;[];[];[]
Broadway;3;[157002, 156972, 156949, 156985, 157003, 156914, 156962, 156921, 156932, 157024, 157013, 156960, 157020, 156893, 156950, 157011, 156967, 156937, 156912, 156943, 156989, 156991, 156899, 156913, 156981, 157015, 156931, 156947, 156971, 157008, 156894, 156935, 156992, 156968, 156897, 156909, 156975, 157009, 156927, 156922, 156977, 156997, 156898, 156946, 156988, 157007, 156918, 156980, 156901, 156915, 157021, 156961, 156955, 156969, 156930, 156952, 156982, 156964, 156924, 157004, 156939, 156942, 157000, 157026, 156926, 157023, 156907, 156916, 156983, 157006, 156944, 156998, 156933, 156941, 156996, 157028, 156892, 156895, 156957];[05:38, 06:08, 06:15, 06:38, 06:38, 06:45, 07:08, 07:15, 07:15, 07:38, 07:38, 07:45, 08:08, 08:15, 08:15, 08:38, 08:38, 08:45, 09:15, 09:15, 09:38, 09:38, 10:15, 10:15, 10:38, 10:38, 11:15, 11:15, 11:38, 11:38, 12:15, 12:15, 12:38, 12:38, 13:15, 13:15, 13:38, 13:38, 14:15, 14:15, 14:38, 14:38, 15:15, 15:15, 15:38, 15:38, 15:45, 16:08, 16:15, 16:15, 16:38, 16:38, 16:45, 17:08, 17:15, 17:15, 17:38, 17:38, 17:45, 18:08, 18:15, 18:15, 18:38, 18:38, 18:45, 19:08, 19:15, 19:15, 19:38, 19:38, 19:45, 20:08, 20:15, 20:15, 20:38, 20:38, 20:45, 21:15, 21:15];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4]]
Vista;3;[Regular_Service_6-3-2025-Weekday-3-A-TO-1-0540-e50, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0610-442, Regular_Service_6-3-2025-Weekday-3-A-TO-0615-65aec, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0640-c31, Regular_Service_6-3-2025-Weekday-3-A-TO-0645-25fc9, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0655-844, Regular_Service_6-3-2025-Weekday-3-A-TO-0700-ad6a7, Regular_Service_6-3-2025-Sa-3-A-TO-1-0710-426bef2, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0710-28b, Regular_Service_6-3-2025-Sa-3-A-TO-0715-018d306, Regular_Service_6-3-2025-Weekday-3-A-TO-0715-2a7ad, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0725-3a8, Regular_Service_6-3-2025-Weekday-3-A-TO-0730-cef03, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0740-3f1, Regular_Service_6-3-2025-Sa-3-A-TO-1-0740-f47ddd0, Regular_Service_6-3-2025-Weekday-3-A-TO-0745-e46cb, Regular_Service_6-3-2025-Sa-3-A-TO-0745-ecb0ece, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0755-5c6, Regular_Service_6-3-2025-Weekday-3-A-TO-0800-b434f, Regular_Service_6-3-2025-Sa-3-A-TO-1-0810-20d3865, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0810-371, Regular_Service_6-3-2025-Sa-3-A-TO-0815-26632db, Regular_Service_6-3-2025-Weekday-3-A-TO-0815-dff9e, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0825-90c, Regular_Service_6-3-2025-Weekday-3-A-TO-0830-8c9e4, Regular_Service_6-3-2025-Sa-3-A-TO-1-0840-42b5427, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0840-cda, Regular_Service_6-3-2025-Sa-3-A-TO-0845-6705669, Regular_Service_6-3-2025-Weekday-3-A-TO-0845-bd565, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0910-5fa, Regular_Service_6-3-2025-Sa-3-A-TO-1-0910-e8e165b, Regular_Service_6-3-2025-Sa-3-A-TO-0915-84516b8, Regular_Service_6-3-2025-Weekday-3-A-TO-0915-8df6f, Regular_Service_6-3-2025-Sa-3-A-TO-1-0940-3df29a3, Regular_Service_6-3-2025-Weekday-3-A-TO-1-0940-60b, Regular_Service_6-3-2025-Sa-3-A-TO-0945-401baa8, Regular_Service_6-3-2025-Weekday-3-A-TO-0945-5e5a7, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1010-63d, Regular_Service_6-3-2025-Sa-3-A-TO-1-1010-dc28dc1, Regular_Service_6-3-2025-Weekday-3-A-TO-1015-2e1c6, Regular_Service_6-3-2025-Sa-3-A-TO-1015-97cc3c8, Regular_Service_6-3-2025-Sa-3-A-TO-1-1040-891f65b, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1040-f9b, Regular_Service_6-3-2025-Weekday-3-A-TO-1045-46b85, Regular_Service_6-3-2025-Sa-3-A-TO-1045-848b9e4, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1110-23d, Regular_Service_6-3-2025-Sa-3-A-TO-1-1110-0e1adf0, Regular_Service_6-3-2025-Sa-3-A-TO-1115-12d7852, Regular_Service_6-3-2025-Weekday-3-A-TO-1115-728fb, Regular_Service_6-3-2025-Sa-3-A-TO-1-1140-6fc86cf, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1140-745, Regular_Service_6-3-2025-Weekday-3-A-TO-1145-4af81, Regular_Service_6-3-2025-Sa-3-A-TO-1145-8287994, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1210-dab, Regular_Service_6-3-2025-Sa-3-A-TO-1-1210-06be0a9, Regular_Service_6-3-2025-Weekday-3-A-TO-1215-bd297, Regular_Service_6-3-2025-Sa-3-A-TO-1215-ca2b179, Regular_Service_6-3-2025-Sa-3-A-TO-1-1240-a1e5620, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1240-ea4, Regular_Service_6-3-2025-Weekday-3-A-TO-1245-0dc1b, Regular_Service_6-3-2025-Sa-3-A-TO-1245-4f87cdc, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1310-286, Regular_Service_6-3-2025-Sa-3-A-TO-1-1310-d731eba, Regular_Service_6-3-2025-Sa-3-A-TO-1315-2f2b862, Regular_Service_6-3-2025-Weekday-3-A-TO-1315-ea13c, Regular_Service_6-3-2025-Sa-3-A-TO-1-1340-41e2183, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1340-fa3, Regular_Service_6-3-2025-Weekday-3-A-TO-1345-661d5, Regular_Service_6-3-2025-Sa-3-A-TO-1345-e23b1a6, Regular_Service_6-3-2025-Sa-3-A-TO-1-1410-16b4aac, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1410-693, Regular_Service_6-3-2025-Weekday-3-A-TO-1415-6dd08, Regular_Service_6-3-2025-Sa-3-A-TO-1415-83b279b, Regular_Service_6-3-2025-Sa-3-A-TO-1-1440-7439516, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1440-f2d, Regular_Service_6-3-2025-Weekday-3-A-TO-1445-20b3f, Regular_Service_6-3-2025-Sa-3-A-TO-1445-7a46e01, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1510-53a, Regular_Service_6-3-2025-Sa-3-A-TO-1-1510-ff5b5e4, Regular_Service_6-3-2025-Weekday-3-A-TO-1515-25c3b, Regular_Service_6-3-2025-Sa-3-A-TO-1515-e4623da, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1540-7f6, Regular_Service_6-3-2025-Sa-3-A-TO-1-1540-0627a6e, Regular_Service_6-3-2025-Weekday-3-A-TO-1545-c87a7, Regular_Service_6-3-2025-Sa-3-A-TO-1545-e19cdf4, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1610-29a, Regular_Service_6-3-2025-Sa-3-A-TO-1-1610-10dbc2b, Regular_Service_6-3-2025-Sa-3-A-TO-1615-b9b1ab2, Regular_Service_6-3-2025-Weekday-3-A-TO-1615-ed4f0, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1625-7de, Regular_Service_6-3-2025-Weekday-3-A-TO-1630-90346, Regular_Service_6-3-2025-Sa-3-A-TO-1-1640-5b10c5b, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1640-63d, Regular_Service_6-3-2025-Sa-3-A-TO-1645-3a72cec, Regular_Service_6-3-2025-Weekday-3-A-TO-1645-abdf6, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1655-cab, Regular_Service_6-3-2025-Weekday-3-A-TO-1700-3642a, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1710-6a3, Regular_Service_6-3-2025-Sa-3-A-TO-1-1710-e98defe, Regular_Service_6-3-2025-Weekday-3-A-TO-1715-21b76, Regular_Service_6-3-2025-Sa-3-A-TO-1715-a0535dd, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1725-351, Regular_Service_6-3-2025-Weekday-3-A-TO-1730-0dc55, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1740-b1e, Regular_Service_6-3-2025-Sa-3-A-TO-1-1740-fc5d37b, Regular_Service_6-3-2025-Weekday-3-A-TO-1745-38cde, Regular_Service_6-3-2025-Sa-3-A-TO-1745-bc50fdf, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1755-a77, Regular_Service_6-3-2025-Weekday-3-A-TO-1800-e6543, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1810-81e, Regular_Service_6-3-2025-Sa-3-A-TO-1-1810-bf3fbc1, Regular_Service_6-3-2025-Weekday-3-A-TO-1815-866b3, Regular_Service_6-3-2025-Sa-3-A-TO-1815-a189a8d, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1825-161, Regular_Service_6-3-2025-Weekday-3-A-TO-1830-46bf4, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1840-4dc, Regular_Service_6-3-2025-Sa-3-A-TO-1-1840-bb5d349, Regular_Service_6-3-2025-Sa-3-A-TO-1845-3ede693, Regular_Service_6-3-2025-Weekday-3-A-TO-1845-cff58, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1855-2c3, Regular_Service_6-3-2025-Weekday-3-A-TO-1900-7e2d3, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1910-881, Regular_Service_6-3-2025-Sa-3-A-TO-1-1910-ba0ec00, Regular_Service_6-3-2025-Sa-3-A-TO-1915-af445d2, Regular_Service_6-3-2025-Weekday-3-A-TO-1915-e855d, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1925-cae, Regular_Service_6-3-2025-Weekday-3-A-TO-1930-763f7, Regular_Service_6-3-2025-Sa-3-A-TO-1-1940-d928650, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1940-be2, Regular_Service_6-3-2025-Weekday-3-A-TO-1945-c6f21, Regular_Service_6-3-2025-Sa-3-A-TO-1945-d57d5aa, Regular_Service_6-3-2025-Weekday-3-A-TO-1-1955-79d, Regular_Service_6-3-2025-Weekday-3-A-TO-2000-de357, Regular_Service_6-3-2025-Sa-3-A-TO-1-2010-a274505, Regular_Service_6-3-2025-Weekday-3-A-TO-1-2010-b00, Regular_Service_6-3-2025-Weekday-3-A-TO-2015-44f71, Regular_Service_6-3-2025-Sa-3-A-TO-2015-cf5a8d5, Regular_Service_6-3-2025-Weekday-3-A-TO-1-2025-142, Regular_Service_6-3-2025-Sa-3-A-TO-1-2040-61b6f5b, Regular_Service_6-3-2025-Weekday-3-A-TO-1-2040-fde, Regular_Service_6-3-2025-Sa-3-A-TO-2045-3e02130, Regular_Service_6-3-2025-Weekday-3-A-TO-2045-f8fa0, Regular_Service_6-3-2025-Weekday-3-A-TO-1-2110-28c, Regular_Service_6-3-2025-Weekday-3-A-TO-2115-56536, Regular_Service_6-3-2025-Sa-3-A-TO-2115-62749a9];[05:40, 06:10, 06:15, 06:40, 06:45, 06:55, 07:00, 07:10, 07:10, 07:15, 07:15, 07:25, 07:30, 07:40, 07:40, 07:45, 07:45, 07:55, 08:00, 08:10, 08:10, 08:15, 08:15, 08:25, 08:30, 08:40, 08:40, 08:45, 08:45, 09:10, 09:10, 09:15, 09:15, 09:40, 09:40, 09:45, 09:45, 10:10, 10:10, 10:15, 10:15, 10:40, 10:40, 10:45, 10:45, 11:10, 11:10, 11:15, 11:15, 11:40, 11:40, 11:45, 11:45, 12:10, 12:10, 12:15, 12:15, 12:40, 12:40, 12:45, 12:45, 13:10, 13:10, 13:15, 13:15, 13:40, 13:40, 13:45, 13:45, 14:10, 14:10, 14:15, 14:15, 14:40, 14:40, 14:45, 14:45, 15:10, 15:10, 15:15, 15:15, 15:40, 15:40, 15:45, 15:45, 16:10, 16:10, 16:15, 16:15, 16:25, 16:30, 16:40, 16:40, 16:45, 16:45, 16:55, 17:00, 17:10, 17:10, 17:15, 17:15, 17:25, 17:30, 17:40, 17:40, 17:45, 17:45, 17:55, 18:00, 18:10, 18:10, 18:15, 18:15, 18:25, 18:30, 18:40, 18:40, 18:45, 18:45, 18:55, 19:00, 19:10, 19:10, 19:15, 19:15, 19:25, 19:30, 19:40, 19:40, 19:45, 19:45, 19:55, 20:00, 20:10, 20:10, 20:15, 20:15, 20:25, 20:40, 20:40, 20:45, 20:45, 21:10, 21:15, 21:15];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5]]
Franklin;3;[Regular_Service_6-3-2025-Weekday-4-A-TO-0630-5e630, Regular_Service_6-3-2025-Weekday-4-B-TO-1-0700-957, Regular_Service_6-3-2025-Weekday-4-B-TO-0730-7c4c7, Regular_Service_6-3-2025-Weekday-4-A-TO-1-0800-52d, Regular_Service_6-3-2025-Weekday-4-A-TO-0830-66c78, Regular_Service_6-3-2025-Weekday-4-A-TO-1-0900-788, Regular_Service_6-3-2025-Weekday-4-A-TO-0930-1b1d5, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1000-62e, Regular_Service_6-3-2025-Weekday-4-A-TO-1030-3fb70, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1100-903, Regular_Service_6-3-2025-Weekday-4-A-TO-1130-18ffe, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1200-09d, Regular_Service_6-3-2025-Weekday-4-A-TO-1230-468a8, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1300-e97, Regular_Service_6-3-2025-Weekday-4-A-TO-1330-63c61, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1400-509, Regular_Service_6-3-2025-Weekday-4-A-TO-1430-bfd1f, Regular_Service_6-3-2025-Weekday-4-B-TO-1-1500-a1f, Regular_Service_6-3-2025-Weekday-4-B-TO-1530-1fe22, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1600-4fe, Regular_Service_6-3-2025-Weekday-4-A-TO-1630-a7b69, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1700-545, Regular_Service_6-3-2025-Weekday-4-A-TO-1730-6d863, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1800-92b, Regular_Service_6-3-2025-Weekday-4-A-TO-1830-ebc7d, Regular_Service_6-3-2025-Weekday-4-A-TO-1-1900-a02];[06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
Emerald;3;[Regular_Service_6-3-2025-Weekday-5-A-TO-1-0615-58f, Regular_Service_6-3-2025-Weekday-5-A-TO-0620-4041f, Regular_Service_6-3-2025-Weekday-5-A-TO-1-0645-5cf, Regular_Service_6-3-2025-Weekday-5-A-TO-0650-4f756, Regular_Service_6-3-2025-Weekday-5-A-TO-1-0715-6c3, Regular_Service_6-3-2025-Weekday-5-A-TO-0720-c536e, Regular_Service_6-3-2025-Weekday-5-A-TO-1-0745-cd6, Regular_Service_6-3-2025-Weekday-5-A-TO-0750-2aa4b, Regular_Service_6-3-2025-Sa-5-A-TO-0800-61c7fc8, Regular_Service_6-3-2025-Weekday-5-A-TO-1-0815-05c, Regular_Service_6-3-2025-Sa-5-A-TO-1-0820-003dcfc, Regular_Service_6-3-2025-Weekday-5-A-TO-0820-a663e, Regular_Service_6-3-2025-Weekday-5-A-TO-1-0845-0b7, Regular_Service_6-3-2025-Weekday-5-A-TO-0850-0b1ca, Regular_Service_6-3-2025-Sa-5-A-TO-0900-76dc305, Regular_Service_6-3-2025-Weekday-5-A-TO-1-0915-53e, Regular_Service_6-3-2025-Sa-5-A-TO-1-0920-7e3ae2f, Regular_Service_6-3-2025-Weekday-5-A-TO-0950-27572, Regular_Service_6-3-2025-Sa-5-A-TO-1000-ea28792, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1015-178, Regular_Service_6-3-2025-Sa-5-A-TO-1-1020-c97d77c, Regular_Service_6-3-2025-Weekday-5-A-TO-1050-ef02a, Regular_Service_6-3-2025-Sa-5-A-TO-1100-42c1bca, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1115-2fb, Regular_Service_6-3-2025-Sa-5-A-TO-1-1120-b71a69d, Regular_Service_6-3-2025-Weekday-5-A-TO-1150-ea36a, Regular_Service_6-3-2025-Sa-5-A-TO-1200-adb8776, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1215-616, Regular_Service_6-3-2025-Sa-5-A-TO-1-1220-8c4b694, Regular_Service_6-3-2025-Weekday-5-A-TO-1250-66b0d, Regular_Service_6-3-2025-Sa-5-A-TO-1300-c565d79, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1315-0d2, Regular_Service_6-3-2025-Sa-5-A-TO-1-1320-ab14744, Regular_Service_6-3-2025-Weekday-5-A-TO-1350-4eeb9, Regular_Service_6-3-2025-Sa-5-A-TO-1400-860db0d, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1415-6d8, Regular_Service_6-3-2025-Sa-5-A-TO-1-1420-18bd6fa, Regular_Service_6-3-2025-Weekday-5-A-TO-1450-3022b, Regular_Service_6-3-2025-Sa-5-A-TO-1500-292daab, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1515-d85, Regular_Service_6-3-2025-Sa-5-A-TO-1-1520-e3a02e1, Regular_Service_6-3-2025-Weekday-5-A-TO-1520-2a44f, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1545-a6f, Regular_Service_6-3-2025-Weekday-5-A-TO-1550-0eeec, Regular_Service_6-3-2025-Sa-5-A-TO-1600-49ca286, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1615-92c, Regular_Service_6-3-2025-Sa-5-A-TO-1-1620-3d790d0, Regular_Service_6-3-2025-Weekday-5-A-TO-1620-93fc7, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1645-d97, Regular_Service_6-3-2025-Weekday-5-A-TO-1650-bbfb1, Regular_Service_6-3-2025-Sa-5-A-TO-1700-0a969b2, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1715-bf8, Regular_Service_6-3-2025-Sa-5-A-TO-1-1720-7bf3171, Regular_Service_6-3-2025-Weekday-5-A-TO-1720-30203, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1745-351, Regular_Service_6-3-2025-Weekday-5-A-TO-1750-1d1ba, Regular_Service_6-3-2025-Sa-5-A-TO-1800-1a2bb28, Regular_Service_6-3-2025-Weekday-5-A-TO-1-1815-26f, Regular_Service_6-3-2025-Sa-5-A-TO-1-1820-8b4e2c1, Regular_Service_6-3-2025-Weekday-5-A-TO-1820-c9f78, Regular_Service_6-3-2025-Weekday-5-A-TO-1850-d8d54];[06:15, 06:20, 06:45, 06:50, 07:15, 07:20, 07:45, 07:50, 08:00, 08:15, 08:20, 08:20, 08:45, 08:50, 09:00, 09:15, 09:20, 09:50, 10:00, 10:15, 10:20, 10:50, 11:00, 11:15, 11:20, 11:50, 12:00, 12:15, 12:20, 12:50, 13:00, 13:15, 13:20, 13:50, 14:00, 14:15, 14:20, 14:50, 15:00, 15:15, 15:20, 15:20, 15:45, 15:50, 16:00, 16:15, 16:20, 16:20, 16:45, 16:50, 17:00, 17:15, 17:20, 17:20, 17:45, 17:50, 18:00, 18:15, 18:20, 18:20, 18:50];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
