stop_id,stop_name,stop_lat,stop_lon
136,Old Woburn St at Sweet Bay Dr,48.746886,-122.445354
137,Lakeway Dr at Birch St,48.748557,-122.427560
138,Bennett Dr at McAlpine Rd,48.775923,-122.520002
139,Donovan Ave at 31st St,48.717349,-122.476503
140,Britton Rd at Barkley Blvd,48.773021,-122.409974
141,Hwy 9 at Rutsatz Rd,48.806520,-122.197623
142,Woburn St at Old Woburn St,48.748128,-122.444880
143,Mt Baker Hwy at Smith Rd,48.830812,-122.307271
144,Lake Louise Rd at Stimpson Family Nature Reserve,48.732442,-122.378334
145,Mt Baker Hwy at Noon Rd,48.802501,-122.400007
146,Mt Baker Hwy at Nugents Corner,48.843494,-122.286970
147,Mt Baker Hwy at Nugents Corner,48.843706,-122.286058
148,Deming Rd at Mount Baker High School,48.824741,-122.221456
149,Deming Rd at Mount Baker High School,48.824926,-122.221589
151,Deming Rd at Water St,48.823362,-122.214696
152,Kendall Rd at Kendall Elementary School,48.917065,-122.141193
153,Shamrock Rd at Azure Way,48.949951,-122.152663
154,Golden Valley Dr at Cimarron Way,48.950352,-122.145023
155,Chestnut Dr at Dolphin Way,48.945716,-122.149015
156,James St at Carolina St,48.760620,-122.465060
157,James St at Kentucky St,48.757948,-122.465038
158,State St at Kansas St,48.753986,-122.469050
159,James St at Kentucky St,48.758068,-122.464770
160,James St at Texas St,48.761377,-122.464806
161,Sunset Dr at 2500 block,48.778678,-122.438734
162,Sunset Dr at Woburn St,48.776730,-122.446210
163,James St at Connecticut St,48.765344,-122.465024
164,Sunset Dr at Racine St,48.774906,-122.452710
165,Sunset Dr at Woburn St,48.776723,-122.444498
166,Noon Rd at Mt Baker Hwy,48.803462,-122.398974
167,Oregon Trail at Kendall Rd,48.931288,-122.143276
168,Peaceful Valley Dr at Clear Valley Dr,48.939387,-122.144391
169,Deep Valley Dr at Red Valley Ln,48.941666,-122.141940
170,King Valley Dr at Green Valley Ct,48.939028,-122.140842
171,Hwy 9 at Van Zandt Community Hall,48.789486,-122.190336
172,Chestnut Dr at Golden Valley Dr,48.946413,-122.144680
173,Kendall Rd at Mt Baker Hwy,48.917100,-122.138581
174,Kellogg Rd at Meridian St,48.795278,-122.488016
175,Champion St at Unity St,48.751954,-122.477102
177,Girard St at C St,48.757602,-122.480353
178,Girard St at G St,48.759262,-122.482820
179,Girard St at J St,48.760875,-122.485317
180,Meridian St at Broadway,48.761759,-122.485994
181,Meridian St at North St,48.764728,-122.485987
182,Meridian St at Oregon St,48.771153,-122.485951
183,Meridian St at Victor St,48.773960,-122.485940
184,Meridian St at Orchard Dr,48.779123,-122.485964
185,Meridian St at McLeod Rd,48.781891,-122.486330
186,Meridian St at Victor St,48.773599,-122.486181
187,Meridian St at Oregon St,48.770748,-122.486182
188,Meridian St at North St,48.764540,-122.486216
189,Meridian St at Monroe St,48.762417,-122.486190
190,Girard St at J St,48.760815,-122.485563
191,Girard St at H St,48.759590,-122.483675
192,Girard St at D St,48.757555,-122.480544
195,Nooksack Valley High School,48.963925,-122.308224
196,Nooksack Rd at Madison St,48.927755,-122.321942
197,Nooksack Rd at Columbia St,48.921612,-122.322010
198,Main St at Kirsch Rd,48.920231,-122.341510
199,Main St at Kirsch Dr,48.920071,-122.341550
200,Everson Rd at Kale Rd,48.915993,-122.352390
201,Everson Rd at Kale Rd,48.915852,-122.352200
202,Everson Rd at Roeder St,48.911443,-122.355193
203,Everson Rd at Strandell St,48.911350,-122.355030
204,Mission Rd at Chestnut St,48.906329,-122.355903
205,Mission Rd at Chestnut St,48.905973,-122.355484
206,Mission Rd at Suchanon Dr,48.898445,-122.353120
207,Guide Meridian at Horton Rd,48.808329,-122.485813
208,Guide Meridian at Kline Rd,48.815556,-122.485760
209,Guide Meridian at Smith Rd,48.833839,-122.485770
210,Guide Meridian at Laurel Rd,48.855583,-122.485750
211,Everson-Goshen Rd at Pole Rd,48.891415,-122.375470
