stop_id,stop_name,stop_lat,stop_lon
277,ATLANTIC AVE AT CALIFORNIA AVE,39.355508,-74.444121
279,ATLANTIC AVE AT FLORIDA AVE,39.356629,-74.441413
282,ACROSS ATLANTIC AVE AT OHIO AVE,39.359660,-74.433951
284,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,39.360630,-74.431431
285,ATLANTIC AVE AT KENTUCKY AVE,39.361178,-74.430162
286,ATLANTIC AVE AT NEW YORK AVE,39.361679,-74.428922
289,ATLANTIC AVE AT ARKANSAS AVE,39.358569,-74.436630
292,ON ATLANTIC AVE AT OHIO AVE,39.359479,-74.434891
294,ALBANY AVE AT CROSSAN AVE,39.358580,-74.460833
295,ALBANY AVE AT FILBERT AVE,39.357550,-74.459992
296,ATLANTIC AVE AT MISSISSIPPI AVE,39.357618,-74.438972
299,SHORE RD AT MEDICAL CENTER WAY,39.315708,-74.594402
301,SHORE RD AT CONNECTICUT AVE,39.315840,-74.594430
302,SHORE RD AT DAWES AVE,39.324398,-74.587553
303,SHORE RD AT GROVELAND AVE,39.320600,-74.590623
304,SHORE RD AT GROVELAND AVE,39.320268,-74.591010
305,SHORE RD AT PLEASANT AVE,39.318819,-74.592023
307,SHORE RD AT MEYRAN AVE,39.324568,-74.587541
308,SHORE RD AT NEW JERSEY AVE,39.313028,-74.596072
309,SHORE RD AT NEW JERSEY AVE,39.312439,-74.596531
313,RT-4 AT BROAD AVE,40.877030,-73.977391
315,CEDAR LN AT RIVER RD,40.891438,-74.030731
316,CEDAR LN AT WESTERLY CATALPA AVE,40.891329,-74.029253
317,CEDAR LANE AT LARCH AVE,40.890479,-74.026270
318,CEDAR LN AT ELM AVE,40.889928,-74.024621
319,CEDAR LN AT GARRISON AVE,40.889147,-74.022181
320,CEDAR LN AT PALISADE AVE,40.887780,-74.018121
321,CEDAR LANE AT QUEEN ANNE RD,40.886750,-74.015112
322,CEDAR LN AT GRANGE RD,40.885810,-74.012171
323,CEDAR LN AT TEANECK RD,40.884648,-74.008021
324,CEDAR LN AT GRANGE RD,40.885818,-74.011841
325,CEDAR LN AT QUEEN ANNE RD,40.886698,-74.014641
326,CEDAR LN AT PALISADE AVE,40.888188,-74.019051
327,CEDAR LN AT CHESTNUT AVE,40.889449,-74.022782
328,CEDAR LN AT ELM AVE,40.890098,-74.024713
329,CEDAR LANE AT LINCOLN PL,40.890608,-74.026182
330,CEDAR LN AT WESTERLY CATALPA AVE,40.891529,-74.029841
332,DEGRAW AVE AT JAMES ST,40.875830,-74.022463
333,DEGRAW AVE AT QUEEN ANNE RD,40.874988,-74.020212
334,DEGRAW AVE AT BEECH ST,40.874380,-74.018601
335,DEGRAW AVE AT MORNINGSIDE TER,40.873489,-74.016260
336,DEGRAW AVE AT GIFFORD PL,40.872678,-74.014122
337,DEGRAW AVE AT FRANK W. BURR BLVD,40.871549,-74.007183
338,DEGRAW AVE AT FRANK W. BURR BLVD,40.871659,-74.006693
339,DEGRAW AVE AT GIFFORD PL,40.872689,-74.013742
340,DEGRAW AVE AT ROCKLEDGE PL,40.873218,-74.015133
341,DEGRAW AVE AT WOODBINE ST,40.873939,-74.017063
342,DEGRAW AVE AT BEECH ST,40.874369,-74.018242
343,DEGRAW AVE AT QUEEN ANNE RD,40.875199,-74.020423
344,DEGRAW AVE AT FARRANT TERRACE,40.876068,-74.022720
345,EAST FOREST AVE AT TEANECK RD,40.893628,-74.001270
346,EAST FOREST AVE AT ARLINGTON AVE,40.892808,-73.999030
347,EAST FOREST AVE AT TUXEDO SQ,40.891918,-73.996592
348,EAST FOREST AVE AT LORRAINE AVE,40.891148,-73.994504
349,EAST FOREST AVE AT LORRAINE AVE,40.891249,-73.994462
350,EAST FOREST AVE AT TUXEDO AVE,40.891910,-73.996302
352,FORT LEE RD AT PARK AVE,40.871927,-74.018282
353,FORT LEE RD AT LEES AVE,40.871199,-74.016302
354,FORT LEE RD AT LOCUST ST,40.871188,-74.016070
355,FORT LEE RD AT WOODBINE AVE,40.872040,-74.018364
356,RIVER RD AT TERHUNE ST,40.885908,-74.031362
357,RIVER RD AT KENWOOD PL,40.887969,-74.030972
358,RIVER RD AT KENT AVE,40.889690,-74.031142
359,RIVER RD & BEVERLY RD,40.892310,-74.031292
360,RIVER RD AT TILDEN AVE,40.894088,-74.030540
