30X;30X;[];[];[]
L;L;[11977118, 11977284, 11977036, 11977205, 11977285, 11977119, 11977206, 11977037, 11977120, 11977286, 11977207, 11977038, 11977121, 11977287, 11977039, 11977208, 11977122, 11977288, 11977209, 11977040, 11977289, 11977123, 11977041, 11977210, 11977124, 11977290, 11977042, 11977211, 11977125, 11977291, 11977043, 11977212, 11977292, 11977126, 11977213, 11977044, 11977127, 11977293, 11977214, 11977045, 11977128, 11977294, 11977215, 11977046, 11977295, 11977129, 11977216, 11977047, 11977130, 11977296, 11977217, 11977048, 11977131, 11977297, 11977049, 11977218, 11977298, 11977132, 11977219, 11977050, 11977299, 11977133, 11977051, 11977220, 11977300, 11977134, 11977052, 11977221, 11977301, 11977135, 11977222, 11977053, 11977136, 11977302, 11977054, 11977223, 11977137, 11977303, 11977224, 11977055, 11977304, 11977138, 11977056, 11977225, 11977305, 11977139, 11977226, 11977057, 11977306, 11977140, 11977227, 11977058, 11977141, 11977307, 11977059, 11977228, 11977142, 11977308, 11977229, 11977060, 11977143, 11977309, 11977230, 11977061, 11977310, 11977144, 11977231, 11977062, 11977311, 11977145, 11977063, 11977232, 11977146, 11977312, 11977064, 11977233, 11977147, 11977313, 11977234, 11977065, 11977148, 11977314, 11977066, 11977235, 11977315, 11977149, 11977236, 11977067, 11977150, 11977316, 11977237, 11977068, 11977317, 11977151, 11977238, 11977069, 11977152, 11977318, 11977239, 11977070, 11977153, 11977319, 11977071, 11977240, 11977154, 11977320, 11977241, 11977072, 11977155, 11977321, 11977073, 11977242, 11977322, 11977156, 11977243, 11977074, 11977323, 11977157, 11977244, 11977075, 11977158, 11977324, 11977245, 11977076, 11977159, 11977325, 11977077, 11977246, 11977160, 11977326, 11977078, 11977247, 11977079, 11977248, 11977161, 11977327, 11977249, 11977080, 11977162, 11977328, 11977183, 11977329, 11977250, 11977096, 11977163, 11977330, 11977251, 11977081, 11977165, 11977331, 11977252, 11977082, 11977332, 11977166, 11977333, 11977182, 11977253, 11977083, 11977334, 11977167, 11977254, 11977084, 11977335, 11977184, 11977255, 11977085, 11977336, 11977168, 11977086, 11977256, 11977337, 11977169, 11977257, 11977087, 11977338, 11977170, 11977258, 11977088, 11977339, 11977171, 11977259, 11977089, 11977340, 11977172, 11977260, 11977090, 11977173, 11977341, 11977261, 11977091, 11977342, 11977174, 11977092, 11977262, 11977175, 11977343, 11977263, 11977093, 11977176, 11977344, 11977094, 11977264, 11977345, 11977178, 11977177, 11977346, 11977347, 11977179, 11977095, 11977265, 11977180, 11977348, 11977349, 11977181, 11977016, 11977185, 11977186, 11977017, 11977270, 11977101, 11977018, 11977187, 11977271, 11977102, 11977019, 11977266, 11977020, 11977267, 11977272, 11977103, 11977021, 11977268, 11977104, 11977350, 11977022, 11977269, 11977098, 11977188, 11977105, 11977351, 11977189, 11977023, 11977106, 11977352, 11977190, 11977024, 11977107, 11977353, 11977097, 11977191, 11977164, 11977273, 11977025, 11977192, 11977108, 11977274, 11977026, 11977195, 11977194, 11977100, 11977109, 11977275, 11977027, 11977196, 11977276, 11977110, 11977197, 11977028, 11977111, 11977277, 11977198, 11977029, 11977112, 11977278, 11977030, 11977199, 11977113, 11977279, 11977031, 11977200, 11977280, 11977114, 11977032, 11977201, 11977281, 11977115, 11977202, 11977033, 11977282, 11977116, 11977034, 11977203, 11977117, 11977283, 11977035, 11977204];[10:03, 10:03, 10:07, 10:07, 10:15, 10:15, 10:19, 10:19, 10:27, 10:27, 10:31, 10:31, 10:39, 10:39, 10:43, 10:43, 10:51, 10:51, 10:55, 10:55, 11:03, 11:03, 11:07, 11:07, 11:15, 11:15, 11:19, 11:19, 11:27, 11:27, 11:31, 11:31, 11:39, 11:39, 11:43, 11:43, 11:51, 11:51, 11:55, 11:55, 12:03, 12:03, 12:07, 12:07, 12:15, 12:15, 12:19, 12:19, 12:27, 12:27, 12:31, 12:31, 12:39, 12:39, 12:43, 12:43, 12:51, 12:51, 12:55, 12:55, 13:03, 13:03, 13:07, 13:07, 13:15, 13:15, 13:19, 13:19, 13:27, 13:27, 13:31, 13:31, 13:39, 13:39, 13:43, 13:43, 13:51, 13:51, 13:55, 13:55, 14:03, 14:03, 14:07, 14:07, 14:16, 14:16, 14:19, 14:19, 14:28, 14:28, 14:31, 14:31, 14:40, 14:40, 14:43, 14:43, 14:52, 14:52, 14:56, 14:56, 15:04, 15:04, 15:08, 15:08, 15:17, 15:17, 15:20, 15:20, 15:29, 15:29, 15:32, 15:32, 15:41, 15:41, 15:44, 15:44, 15:53, 15:53, 15:57, 15:57, 16:05, 16:05, 16:09, 16:09, 16:17, 16:17, 16:21, 16:21, 16:29, 16:29, 16:33, 16:33, 16:41, 16:41, 16:45, 16:45, 16:53, 16:53, 16:57, 16:57, 17:05, 17:05, 17:09, 17:09, 17:17, 17:17, 17:21, 17:21, 17:29, 17:29, 17:33, 17:33, 17:41, 17:41, 17:45, 17:45, 17:53, 17:53, 17:57, 17:57, 18:06, 18:06, 18:09, 18:09, 18:19, 18:19, 18:21, 18:21, 18:33, 18:33, 18:33, 18:33, 18:45, 18:45, 18:46, 18:46, 18:58, 18:58, 19:02, 19:02, 19:10, 19:10, 19:12, 19:12, 19:17, 19:17, 19:25, 19:25, 19:33, 19:33, 19:40, 19:40, 19:49, 19:49, 19:51, 19:51, 19:55, 19:55, 20:10, 20:10, 20:11, 20:11, 20:20, 20:20, 20:27, 20:27, 20:30, 20:30, 20:48, 20:48, 20:50, 20:50, 21:08, 21:08, 21:11, 21:11, 21:28, 21:28, 21:32, 21:32, 21:49, 21:49, 21:53, 21:53, 22:10, 22:10, 22:14, 22:14, 22:31, 22:31, 22:34, 22:34, 22:51, 22:51, 22:55, 22:55, 23:11, 23:11, 23:16, 23:16, 23:32, 23:32, 23:36, 23:36, 23:42, 23:42, 23:48, 23:48, 23:55, 23:55, 24:09, 24:09, 24:32, 24:32, 5:24:, 5:24:, 5:44:, 5:44:, 6:00:, 6:00:, 6:04:, 6:04:, 6:20:, 6:20:, 6:24:, 6:24:, 6:39:, 6:39:, 6:40:, 6:40:, 6:54:, 6:54:, 7:00:, 7:00:, 7:09:, 7:09:, 7:14:, 7:14:, 7:16:, 7:16:, 7:24:, 7:24:, 7:31:, 7:31:, 7:39:, 7:39:, 7:44:, 7:44:, 7:47:, 7:47:, 7:50:, 7:50:, 7:55:, 7:55:, 8:02:, 8:02:, 8:02:, 8:02:, 8:11:, 8:11:, 8:14:, 8:14:, 8:14:, 8:14:, 8:26:, 8:26:, 8:30:, 8:30:, 8:38:, 8:38:, 8:42:, 8:42:, 8:50:, 8:50:, 8:54:, 8:54:, 9:02:, 9:02:, 9:06:, 9:06:, 9:14:, 9:14:, 9:18:, 9:18:, 9:27:, 9:27:, 9:30:, 9:30:, 9:39:, 9:39:, 9:42:, 9:42:, 9:51:, 9:51:, 9:54:, 9:54:];[[5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6]]
FBUS;FBUS;[11991304, 11991310, 11991305, 11991311, 11991312, 11991306, 11991303, 11991309, 11991313, 11991307, 11991308, 11991314];[22:25, 22:25, 22:50, 22:50, 23:15, 23:15, 23:25, 23:25, 23:40, 23:40, 24:05, 24:05];[[5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6]]
23;23;[11959536, 11991630, 11959501, 11991596, 11991631, 11959535, 11991597, 11959529, 11959534, 11991632, 11991598, 11959528, 11959533, 11991633, 11959527, 11991599, 11959532, 11991634, 11991600, 11959526, 11991635, 11959565, 11991601, 11959525, 11959564, 11991636, 11991602, 11959524, 11991637, 11959563, 11991603, 11959523, 11959562, 11991638, 11959522, 11991604, 11959561, 11991639, 11991605, 11959521, 11991640, 11959560, 11959520, 11991606, 11991641, 11959559, 11959519, 11991607, 11959558, 11991642, 11991608, 11959518, 11959557, 11991643, 11991609, 11959517, 11991644, 11959556, 11959516, 11991610, 11991645, 11959555, 11991611, 11959515, 11991646, 11959554, 11959514, 11991612, 11959553, 11991647, 11991613, 11959513, 11959552, 11991648, 11991614, 11959512, 11991649, 11959551, 11991615, 11959511, 11991650, 11959550, 11991616, 11959510, 11991651, 11959549, 11991617, 11959509, 11959548, 11991652, 11959500, 11991618, 11959547, 11991653, 11959508, 11991619, 11959546, 11991654, 11959499, 11991620, 11959545, 11991621, 11959544, 11991622, 11991588, 11959506, 11991623, 11959543, 11991589, 11959505, 11959542, 11991624, 11959504, 11991590, 11959541, 11991625, 11959503, 11991591, 11959540, 11991626, 11959502, 11991592, 11991627, 11959539, 11991593, 11959507, 11959538, 11991628, 11991594, 11959531, 11959537, 11991629, 11991595, 11959530];[10:08, 10:08, 10:10, 10:10, 10:38, 10:38, 10:40, 10:40, 11:08, 11:08, 11:10, 11:10, 11:38, 11:38, 11:40, 11:40, 12:08, 12:08, 12:10, 12:10, 12:38, 12:38, 12:40, 12:40, 13:08, 13:08, 13:10, 13:10, 13:38, 13:38, 13:40, 13:40, 14:08, 14:08, 14:10, 14:10, 14:38, 14:38, 14:40, 14:40, 15:08, 15:08, 15:10, 15:10, 15:38, 15:38, 15:40, 15:40, 16:08, 16:08, 16:10, 16:10, 16:38, 16:38, 16:40, 16:40, 17:08, 17:08, 17:10, 17:10, 17:38, 17:38, 17:40, 17:40, 18:08, 18:08, 18:10, 18:10, 18:38, 18:38, 18:40, 18:40, 19:08, 19:08, 19:10, 19:10, 19:38, 19:38, 19:40, 19:40, 20:08, 20:08, 20:10, 20:10, 20:38, 20:38, 20:40, 20:40, 21:08, 21:08, 21:10, 21:10, 21:38, 21:38, 21:40, 21:40, 22:08, 22:08, 22:10, 22:10, 6:02:, 6:02:, 6:08:, 6:08:, 6:10:, 6:10:, 6:38:, 6:38:, 6:40:, 6:40:, 7:08:, 7:08:, 7:10:, 7:10:, 7:39:, 7:39:, 7:40:, 7:40:, 8:08:, 8:08:, 8:10:, 8:10:, 8:38:, 8:38:, 8:40:, 8:40:, 9:08:, 9:08:, 9:10:, 9:10:, 9:38:, 9:38:, 9:40:, 9:40:];[[5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5]]
24;24;[11960035, 12002915, 12002819, 11959909, 12002916, 11960034, 12002820, 11959908, 11960033, 12002917, 12002821, 11959907, 11959906, 12002822, 12002918, 11960032, 11959905, 12002823, 11960031, 12002919, 11959904, 12002824, 11960030, 12002920, 11959903, 12002825, 12002921, 11960029, 11959902, 12002826, 12002922, 11960028, 12002827, 11959901, 11960027, 12002923, 12002828, 11959900, 12002924, 11960026, 12002829, 11959899, 11960025, 12002925, 12002830, 11959898, 12002926, 11960024, 12002831, 11959897, 12002927, 11960023, 12002832, 11959896, 12002928, 11960022, 11959895, 12002833, 12002929, 11960021, 11959894, 12002834, 12002930, 11960020, 11959893, 12002835, 12002931, 11960019, 12002836, 11959892, 12002932, 11960018, 11959891, 12002837, 11960017, 12002933, 11959890, 12002838, 12002934, 11960016, 11959889, 12002839, 12002935, 11960015, 11959888, 12002840, 12002936, 11960014, 11959887, 12002841, 12002937, 11960013, 11959886, 12002842, 12002938, 11960012, 12002843, 11959885, 12002939, 11960011, 12002844, 11959884, 11960010, 12002940, 12002845, 11959883, 12002941, 11960009, 11959882, 12002846, 12002942, 11960008, 11959881, 12002847, 11960007, 12002943, 12002848, 11959880, 11960006, 12002944, 12002849, 11959879, 11960005, 12002945, 12002850, 11959878, 12002946, 11960004, 12002851, 11959877, 11960003, 12002947, 11959876, 12002852, 12002948, 11960002, 12002853, 11959875, 11960001, 12002949, 12002854, 11959874, 11960000, 12002950, 12002855, 11959944, 11959999, 12002951, 11959943, 12002856, 11959998, 12002952, 11959942, 12002857, 11959997, 12002953, 11959941, 12002858, 11959996, 12002954, 11959940, 12002859, 12002955, 11959995, 11959939, 12002860, 11959994, 12002956, 12002861, 11959938, 12002957, 11959993, 11959948, 12002862, 11959992, 12002958, 12002863, 11959937, 12002959, 11959991, 12002864, 11959870, 12002960, 11959990, 12002865, 11959871, 12002961, 11959989, 11959872, 12002866, 11959988, 12002962, 11959873, 12002867, 12002963, 11959987, 11959863, 12002868, 12002964, 11960057, 11959986, 12002965, 12002869, 11959864, 11959974, 12002966, 12002870, 11959865, 12002967, 11959975, 11959866, 12002871, 12002968, 11959976, 12002872, 11959867, 12002969, 11959978, 12002873, 11959868, 12002970, 11959979, 12002874, 11959869, 12002971, 11959980, 12002972, 11959981, 12002875, 11959862, 12002973, 11959982, 12002876, 11959861, 12002974, 11959983, 11959860, 12002877, 12002975, 11959984, 12002878, 11959859, 11959985, 12002976, 11959857, 12002879, 12002977, 11959973, 11959972, 12002978, 11959858, 12002880, 11959971, 12002979, 11959957, 12002881, 11959970, 12002980, 11959946, 12002882, 11959960, 12002981, 11959945, 12002883, 11959959, 12002982, 11959949, 12002884, 11959958, 12002983, 11959969, 12002984, 12002885, 11959947, 11959968, 12002985, 12002886, 11959956, 11959967, 12002986, 11959955, 12002887, 11959966, 12002987, 11959954, 12002888, 12002988, 11959965, 12002889, 11959953, 11959964, 12002989, 12002890, 11959952, 11959963, 12002990, 12002891, 11959951, 12002991, 11959962, 11959950, 12002892, 12002992, 11959977, 11959961, 12002993, 11959936, 12002792, 12002793, 11959935, 12002794, 11959934, 12002893, 11960058, 12002795, 11959933, 11959932, 12002796, 11960056, 12002894, 12002797, 11959931, 11960055, 12002895, 12002798, 11959930, 12002799, 11959929, 11960054, 12002896, 12002800, 11959928, 11960053, 12002897, 12002801, 11959927, 11960052, 12002898, 11959926, 12002802, 11960051, 12002899, 11959925, 12002803, 12002900, 11960050, 12002804, 11959924, 12002901, 11960049, 11959923, 12002805, 11960048, 12002902, 11959922, 12002806, 11960047, 12002903, 12002807, 11959921, 12002904, 11960046, 12002808, 11959920, 12002905, 11960045, 11959919, 12002809, 11960044, 12002906, 12002810, 11959918, 12002907, 11960043, 12002811, 11959917, 12002908, 11960042, 12002812, 11959916, 11960041, 12002909, 12002813, 11959915, 11960040, 12002910, 11959914, 12002814, 11960039, 12002911, 11959913, 12002815, 11960038, 12002912, 12002816, 11959912, 12002817, 11959911, 11960037, 12002913, 11959910, 12002818, 11960036, 12002914];[10:07, 10:07, 10:07, 10:07, 10:19, 10:19, 10:19, 10:19, 10:31, 10:31, 10:31, 10:31, 10:43, 10:43, 10:44, 10:44, 10:55, 10:55, 10:56, 10:56, 11:07, 11:07, 11:09, 11:09, 11:19, 11:19, 11:21, 11:21, 11:31, 11:31, 11:33, 11:33, 11:43, 11:43, 11:45, 11:45, 11:55, 11:55, 11:58, 11:58, 12:07, 12:07, 12:10, 12:10, 12:19, 12:19, 12:22, 12:22, 12:31, 12:31, 12:34, 12:34, 12:43, 12:43, 12:46, 12:46, 12:55, 12:55, 12:58, 12:58, 13:06, 13:06, 13:10, 13:10, 13:18, 13:18, 13:22, 13:22, 13:30, 13:30, 13:34, 13:34, 13:42, 13:42, 13:46, 13:46, 13:54, 13:54, 13:58, 13:58, 14:07, 14:07, 14:10, 14:10, 14:19, 14:19, 14:22, 14:22, 14:31, 14:31, 14:34, 14:34, 14:43, 14:43, 14:46, 14:46, 14:55, 14:55, 14:58, 14:58, 15:07, 15:07, 15:10, 15:10, 15:19, 15:19, 15:22, 15:22, 15:31, 15:31, 15:34, 15:34, 15:43, 15:43, 15:46, 15:46, 15:55, 15:55, 15:58, 15:58, 16:07, 16:07, 16:10, 16:10, 16:19, 16:19, 16:22, 16:22, 16:31, 16:31, 16:34, 16:34, 16:43, 16:43, 16:46, 16:46, 16:55, 16:55, 16:58, 16:58, 17:07, 17:07, 17:10, 17:10, 17:19, 17:19, 17:22, 17:22, 17:31, 17:31, 17:34, 17:34, 17:43, 17:43, 17:46, 17:46, 17:55, 17:55, 17:58, 17:58, 18:07, 18:07, 18:10, 18:10, 18:19, 18:19, 18:22, 18:22, 18:31, 18:31, 18:34, 18:34, 18:43, 18:43, 18:46, 18:46, 18:55, 18:55, 18:58, 18:58, 19:05, 19:05, 19:10, 19:10, 19:17, 19:17, 19:22, 19:22, 19:29, 19:29, 19:34, 19:34, 19:43, 19:43, 19:46, 19:46, 19:55, 19:55, 19:59, 19:59, 20:06, 20:06, 20:07, 20:07, 20:13, 20:13, 20:19, 20:19, 20:26, 20:26, 20:32, 20:32, 20:39, 20:39, 20:45, 20:45, 20:52, 20:52, 21:00, 21:00, 21:04, 21:04, 21:15, 21:15, 21:16, 21:16, 21:28, 21:28, 21:30, 21:30, 21:41, 21:41, 21:45, 21:45, 21:56, 21:56, 22:00, 22:00, 22:11, 22:11, 22:20, 22:20, 22:26, 22:26, 22:40, 22:40, 22:41, 22:41, 22:55, 22:55, 23:00, 23:00, 23:15, 23:15, 23:20, 23:20, 23:35, 23:35, 23:40, 23:40, 23:55, 23:55, 24:00, 24:00, 24:15, 24:15, 24:21, 24:21, 24:26, 24:26, 24:41, 24:41, 24:56, 24:56, 25:01, 25:01, 25:26, 25:26, 25:31, 25:31, 25:56, 25:56, 26:01, 26:01, 26:26, 26:26, 26:31, 26:31, 26:56, 26:56, 27:01, 27:01, 27:26, 27:26, 27:31, 27:31, 27:56, 27:56, 28:01, 28:01, 28:26, 28:26, 28:31, 28:31, 29:01, 29:01, 4:11:, 4:11:, 4:41:, 4:41:, 5:01:, 5:01:, 5:07:, 5:07:, 5:15:, 5:15:, 5:29:, 5:29:, 5:30:, 5:30:, 5:43:, 5:43:, 5:54:, 5:54:, 5:55:, 5:55:, 6:07:, 6:07:, 6:09:, 6:09:, 6:19:, 6:19:, 6:24:, 6:24:, 6:31:, 6:31:, 6:40:, 6:40:, 6:43:, 6:43:, 6:54:, 6:54:, 6:55:, 6:55:, 7:07:, 7:07:, 7:07:, 7:07:, 7:19:, 7:19:, 7:19:, 7:19:, 7:31:, 7:31:, 7:31:, 7:31:, 7:43:, 7:43:, 7:43:, 7:43:, 7:55:, 7:55:, 7:55:, 7:55:, 8:07:, 8:07:, 8:07:, 8:07:, 8:19:, 8:19:, 8:19:, 8:19:, 8:31:, 8:31:, 8:31:, 8:31:, 8:43:, 8:43:, 8:43:, 8:43:, 8:55:, 8:55:, 8:55:, 8:55:, 9:07:, 9:07:, 9:07:, 9:07:, 9:19:, 9:19:, 9:19:, 9:19:, 9:31:, 9:31:, 9:31:, 9:31:, 9:43:, 9:43:, 9:44:, 9:44:, 9:55:, 9:55:, 9:56:, 9:56:];[[5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [5], [6], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [5], [6], [6], [5], [6], [5], [6], [5], [6], [5], [6], [5], [5], [6], [6], [5], [5], [6], [5], [6], [5], [6], [5], [6], [5], [6], [6], [5], [6], [5], [5], [6], [5], [6], [5], [6]]
