1;1;[469090, 469020, 1053020, 1053090, 2338090, 2338020, 718090, 718020, 1064020, 1064090, 1113020, 1113090, 1642020, 1642090, 974020, 974090, 2429090, 2429020, 99090, 99020, 997010, 750020, 750090, 1058020, 1731010, 1058090, 2482020, 2482090, 1063020, 1063090, 1668010, 769070, 652070, 27010, 2520090, 2520020, 1905020, 1905090, 1251010, 2347090, 1418070, 2347020, 2560020, 2560090, 1968070, 1928010, 2612090, 2612020, 761020, 761090, 2640070, 2162010, 991070, 1170010, 2121090, 2121020, 78090, 78020, 897070, 188090, 188020, 531010, 183010, 1018020, 1018090, 675070, 214020, 214090, 1840020, 1840090, 2168010, 2195070, 2591070, 1759010, 2450020, 2450090, 1270020, 1270090, 735070, 1374010, 2001090, 2001020, 1001070, 1217090, 1217020, 847010, 2216090, 2216020, 1952020, 1952090, 934010, 273070, 1408070, 88010, 519020, 519090, 1756020, 1756090, 831020, 1822010, 2249070, 831090, 1730070, 1853010, 583090, 583020, 2449020, 2449090, 1930090, 1930020, 112010, 397070, 1454070, 2111010, 2410020, 2410090, 225090, 225020, 411020, 146070, 411090, 127010, 1780010, 13070, 1578090, 1578020, 1244020, 1244090, 1548090, 1548020, 1070070, 423010, 332070, 462010, 1124090, 1124020, 1281020, 1281090, 744090, 1481070, 1761010, 744020, 375090, 375020, 1357010, 1420070, 2466090, 2466020, 2538020, 2538090, 1688010, 2646070, 1253070, 1010, 400020, 400090, 1845020, 1845090, 2599010, 2036070, 2239090, 2239020, 1792070, 1739010, 2492090, 2492020, 2609090, 2609020, 996090, 996020, 990070, 2292010, 417070, 681010, 416090, 416020, 1202090, 1202020, 1026020, 524010, 1661070, 1026090, 2510070, 2024090, 1181010, 2024020, 1496090, 1496020, 2150020, 2150090, 1233010, 1789070, 1614010, 1326070, 189090, 189020, 615020, 615090, 1042010, 1511090, 1511020, 911070, 833070, 2618010, 164020, 164090, 2494020, 2494090, 2230090, 2230020, 200070, 731010, 422070, 297010, 1719090, 1719020, 760090, 760020, 1910020, 1910090, 2063070, 2303010, 828070, 2309010, 398020, 398090, 316090, 316020, 1291020, 1291090, 1235070, 1735090, 1735020, 1777010, 2327010, 2465070, 2242020, 2242090, 131070, 1269090, 1399010, 1269020, 838070, 1158020, 888010, 1158090, 1637020, 2210070, 482010, 1637090, 477020, 477090, 1266070, 943010, 2264010, 346070, 1504020, 1504090, 178010, 719090, 719020, 1944070, 999020, 1311070, 999090, 2581070, 872090, 872020, 1254090, 2145070, 1254020, 2212020, 2212090, 1312070, 2268020, 621070, 2268090, 1436010, 22070, 2002090, 2002020, 912090, 1551070, 912020, 918090, 1528070, 918020, 1860090, 1860020, 2407070, 2083090, 2083020, 2009070];[06:10, 06:10, 06:21, 06:21, 06:25, 06:25, 06:36, 06:36, 06:40, 06:40, 06:51, 06:51, 06:55, 06:55, 07:06, 07:06, 07:25, 07:25, 07:36, 07:36, 07:40, 07:40, 07:40, 07:51, 07:51, 07:51, 07:55, 07:55, 08:06, 08:06, 08:10, 08:10, 08:21, 08:21, 08:25, 08:25, 08:36, 08:36, 08:40, 08:40, 08:40, 08:40, 08:51, 08:51, 08:51, 08:51, 08:55, 08:55, 09:06, 09:06, 09:10, 09:10, 09:21, 09:21, 09:25, 09:25, 09:36, 09:36, 09:40, 09:40, 09:40, 09:40, 09:51, 09:51, 09:51, 09:51, 09:55, 09:55, 10:06, 10:06, 10:10, 10:10, 10:21, 10:21, 10:25, 10:25, 10:36, 10:36, 10:40, 10:40, 10:40, 10:40, 10:51, 10:51, 10:51, 10:51, 10:55, 10:55, 11:06, 11:06, 11:10, 11:10, 11:21, 11:21, 11:25, 11:25, 11:36, 11:36, 11:40, 11:40, 11:40, 11:40, 11:51, 11:51, 11:51, 11:51, 11:55, 11:55, 12:06, 12:06, 12:10, 12:10, 12:21, 12:21, 12:25, 12:25, 12:36, 12:36, 12:40, 12:40, 12:40, 12:40, 12:51, 12:51, 12:51, 12:51, 12:55, 12:55, 13:06, 13:06, 13:10, 13:10, 13:21, 13:21, 13:25, 13:25, 13:36, 13:36, 13:40, 13:40, 13:40, 13:40, 13:51, 13:51, 13:51, 13:51, 13:55, 13:55, 14:06, 14:06, 14:10, 14:10, 14:21, 14:21, 14:25, 14:25, 14:36, 14:36, 14:40, 14:40, 14:40, 14:40, 14:51, 14:51, 14:51, 14:51, 14:55, 14:55, 15:06, 15:06, 15:10, 15:10, 15:21, 15:21, 15:25, 15:25, 15:36, 15:36, 15:40, 15:40, 15:40, 15:40, 15:51, 15:51, 15:51, 15:51, 15:55, 15:55, 16:06, 16:06, 16:10, 16:10, 16:21, 16:21, 16:25, 16:25, 16:36, 16:36, 16:40, 16:40, 16:40, 16:40, 16:51, 16:51, 16:51, 16:51, 16:55, 16:55, 17:06, 17:06, 17:10, 17:10, 17:21, 17:21, 17:25, 17:25, 17:36, 17:36, 17:40, 17:40, 17:40, 17:40, 17:51, 17:51, 17:51, 17:51, 17:55, 17:55, 18:06, 18:06, 18:10, 18:10, 18:10, 18:10, 18:21, 18:21, 18:21, 18:21, 18:40, 18:40, 18:40, 18:40, 18:51, 18:51, 18:51, 18:51, 19:10, 19:10, 19:10, 19:10, 19:21, 19:21, 19:21, 19:21, 19:40, 19:40, 19:40, 19:40, 19:51, 19:51, 19:51, 19:51, 20:10, 20:10, 20:10, 20:21, 20:21, 20:21, 20:40, 20:40, 20:40, 20:51, 20:51, 20:51, 21:10, 21:10, 21:10, 21:20, 21:21, 21:21, 21:21, 21:40, 21:40, 21:40, 21:51, 21:51, 21:51, 22:10, 22:10, 22:10, 22:21, 22:21, 22:21];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5]]
10;10;[];[];[]
105;105;[];[];[]
105S;105S;[];[];[]
107;107;[];[];[]
108;108;[];[];[]
14;14;[];[];[]
14S;14S;[];[];[]
15;15;[];[];[]
18;18;[];[];[]
190;190;[];[];[]
190S;190S;[];[];[]
196;196;[];[];[]
197;197;[];[];[]
232;232;[];[];[]
24;24;[];[];[]
26;26;[];[];[]
27;27;[];[];[]
29;29;[];[];[]
3;3;[1981090, 1981020, 1424020, 1424090, 1335070, 920090, 920020, 1485090, 1786070, 1485020, 816010, 2023020, 2555010, 2023090, 732070, 1340020, 1340090, 2004070, 1003010, 1475010, 2529090, 2529020, 250070, 1894070, 173090, 173020, 1013010, 1656010, 1435090, 1754070, 1435020, 659020, 659090, 553070, 2255010, 1367090, 928070, 1367020, 2026010, 1105070, 736020, 736090, 2265010, 141020, 1120070, 141090, 1056010, 2533070, 2197020, 2197090, 2245010, 580020, 580090, 1652070, 299010, 2504070, 1544090, 1544020, 896010, 1640010, 451090, 451020, 291070, 2096020, 2096090, 986070, 970010, 2427010, 370090, 1315070, 370020, 2116070, 2500020, 2500090, 1537010, 1394010, 2475090, 2475020, 1427070, 234070, 686020, 686090, 1966010, 530020, 530090, 1076010, 2061070, 2165090, 2610070, 2165020, 1334090, 1334020, 150090, 150020];[06:40, 06:40, 06:40, 06:40, 07:40, 07:40, 07:40, 07:40, 07:40, 07:40, 08:25, 08:40, 08:40, 08:40, 08:40, 08:40, 08:40, 08:40, 09:25, 09:40, 09:40, 09:40, 09:40, 09:40, 09:40, 09:40, 10:25, 10:40, 10:40, 10:40, 10:40, 10:40, 10:40, 10:40, 11:25, 11:40, 11:40, 11:40, 11:40, 11:40, 11:40, 11:40, 12:25, 12:40, 12:40, 12:40, 12:40, 12:40, 12:40, 12:40, 13:25, 13:40, 13:40, 13:40, 13:40, 13:40, 13:40, 13:40, 14:25, 14:40, 14:40, 14:40, 14:40, 14:40, 14:40, 14:40, 15:25, 15:40, 15:40, 15:40, 15:40, 15:40, 15:40, 15:40, 16:25, 16:40, 16:40, 16:40, 16:40, 16:40, 16:40, 16:40, 17:25, 17:40, 17:40, 17:40, 17:40, 17:40, 17:40, 17:40, 18:40, 18:40, 18:40, 18:40];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
331;331;[];[];[]
45;45;[];[];[]
47;47;[];[];[]
48;48;[];[];[]
49;49;[];[];[]
50;50;[];[];[]
512;512;[];[];[]
525;525;[];[];[]
533;533;[];[];[]
540;540;[];[];[]
71X;71X;[];[];[]
72X;72X;[];[];[]
75;75;[];[];[]
80X;80X;[];[];[]
9;9;[];[];[]
